diameter_mm,opacity,similarity
0.8,0.0,0.4436708616860663
0.8,0.02564102564102564,0.5074020378577935
0.8,0.05128205128205128,0.565602041734406
0.8,0.07692307692307693,0.6172977689817698
0.8,0.10256410256410256,0.6620705190372908
0.8,0.1282051282051282,0.699996404247127
0.8,0.15384615384615385,0.7315209067001048
0.8,0.1794871794871795,0.7573143594886808
0.8,0.20512820512820512,0.778145869560166
0.8,0.23076923076923075,0.7947901901566192
0.8,0.2564102564102564,0.8079693222209664
0.8,0.28205128205128205,0.8183224546721635
0.8,0.3076923076923077,0.8263968504182092
0.8,0.3333333333333333,0.8326495698593903
0.8,0.358974358974359,0.8374563940464924
0.8,0.3846153846153846,0.8411224208015335
0.8,0.41025641025641024,0.8438936975492792
0.8,0.4358974358974359,0.8459676202242143
0.8,0.4615384615384615,0.8475018602299754
0.8,0.48717948717948717,0.8486222551908851
0.8,0.5128205128205128,0.849429132425096
0.8,0.5384615384615384,0.8500023907819971
0.8,0.5641025641025641,0.8504055797698441
0.8,0.5897435897435898,0.8506892866596166
0.8,0.6153846153846154,0.8508936401232942
0.8,0.641025641025641,0.8510505286765374
0.8,0.6666666666666666,0.8511851006182651
0.8,0.6923076923076923,0.8513170820845745
0.8,0.717948717948718,0.8514617806956475
0.8,0.7435897435897436,0.8516309508282704
0.8,0.7692307692307692,0.8518333188884222
0.8,0.7948717948717948,0.8520751855481077
0.8,0.8205128205128205,0.8523606315730248
0.8,0.8461538461538461,0.8526919392208973
0.8,0.8717948717948718,0.8530697296269559
0.8,0.8974358974358974,0.8534930121251919
0.8,0.923076923076923,0.8539594756245429
0.8,0.9487179487179487,0.8544653713187815
0.8,0.9743589743589743,0.8550053316522163
0.8,1.0,0.8555727406381841
0.8307692307692308,0.0,0.4436708616860663
0.8307692307692308,0.02564102564102564,0.5084186045991599
0.8307692307692308,0.05128205128205128,0.5676053373675601
0.8307692307692308,0.07692307692307693,0.6202224187075472
0.8307692307692308,0.10256410256410256,0.665823951208987
0.8307692307692308,0.1282051282051282,0.7044713794295936
0.8307692307692308,0.15384615384615385,0.7366054515420836
0.8307692307692308,0.1794871794871795,0.7629006627084383
0.8307692307692308,0.20512820512820512,0.7841354818571414
0.8307692307692308,0.23076923076923075,0.8010964689206043
0.8307692307692308,0.2564102564102564,0.8145180809551049
0.8307692307692308,0.28205128205128205,0.825051177415741
0.8307692307692308,0.3076923076923077,0.8332537485219773
0.8307692307692308,0.3333333333333333,0.8395918013745385
0.8307692307692308,0.358974358974359,0.8444486764988766
0.8307692307692308,0.3846153846153846,0.8481357265528222
0.8307692307692308,0.41025641025641024,0.8509040902545045
0.8307692307692308,0.4358974358974359,0.85295509159041
0.8307692307692308,0.4615384615384615,0.8544497752773308
0.8307692307692308,0.48717948717948717,0.8555167226003367
0.8307692307692308,0.5128205128205128,0.8562582782192496
0.8307692307692308,0.5384615384615384,0.8567560830813219
0.8307692307692308,0.5641025641025641,0.8570750828975623
0.8307692307692308,0.5897435897435898,0.8572669673342131
0.8307692307692308,0.6153846153846154,0.857372924755174
0.8307692307692308,0.641025641025641,0.8574256028088632
0.8307692307692308,0.6666666666666666,0.8574507586309055
0.8307692307692308,0.6923076923076923,0.8574687385159565
0.8307692307692308,0.717948717948718,0.8574954288724852
0.8307692307692308,0.7435897435897436,0.8575430948384958
0.8307692307692308,0.7692307692307692,0.857620870773409
0.8307692307692308,0.7948717948717948,0.8577356276805701
0.8307692307692308,0.8205128205128205,0.8578919040706849
0.8307692307692308,0.8461538461538461,0.8580925650137953
0.8307692307692308,0.8717948717948718,0.8583388069878829
0.8307692307692308,0.8974358974358974,0.8586303117689839
0.8307692307692308,0.923076923076923,0.8589655632276304
0.8307692307692308,0.9487179487179487,0.8593416158014812
0.8307692307692308,0.9743589743589743,0.8597542035995602
0.8307692307692308,1.0,0.8601977613942845
0.8615384615384616,0.0,0.4436708616860663
0.8615384615384616,0.02564102564102564,0.5074589938964827
0.8615384615384616,0.05128205128205128,0.5657676063375096
0.8615384615384616,0.07692307692307693,0.61761449877343
0.8615384615384616,0.10256410256410256,0.6625620066156358
0.8615384615384616,0.1282051282051282,0.7006657687540714
0.8615384615384616,0.15384615384615385,0.7323518614798709
0.8615384615384616,0.1794871794871795,0.7582753453047786
0.8615384615384616,0.20512820512820512,0.7791959807351779
0.8615384615384616,0.23076923076923075,0.7958835711036865
0.8615384615384616,0.2564102564102564,0.8090592249950497
0.8615384615384616,0.28205128205128205,0.8193637334709348
0.8615384615384616,0.3076923076923077,0.82734753566802
