diameter_mm,opacity,similarity
0.0,0.0,0.4407245842666704
0.0,0.1,0.4407245842666704
0.0,0.2,0.4407245842666704
0.0,0.30000000000000004,0.4407245842666704
0.0,0.4,0.4407245842666704
0.0,0.5,0.4407245842666704
0.0,0.6000000000000001,0.4407245842666704
0.0,0.7000000000000001,0.4407245842666704
0.0,0.8,0.4407245842666704
0.0,0.9,0.4407245842666704
0.0,1.0,0.4407245842666704
0.1,0.0,0.4407245842666704
0.1,0.1,0.4424590855559485
0.1,0.2,0.4441634502957512
0.1,0.30000000000000004,0.4458375137479141
0.1,0.4,0.4495593315742745
0.1,0.5,0.4537948650868839
0.1,0.6000000000000001,0.4579917456976739
0.1,0.7000000000000001,0.4621493275496662
0.1,0.8,0.46626704504120814
0.1,0.9,0.47034450160734853
0.1,1.0,0.4743809277225428
0.2,0.0,0.4407245842666704
0.2,0.1,0.46875240093295584
0.2,0.2,0.5024372084705613
0.2,0.30000000000000004,0.5330689016564999
0.2,0.4,0.5605509737924571
0.2,0.5,0.5849025714161608
0.2,0.6000000000000001,0.6062374065212551
0.2,0.7000000000000001,0.6247380119886846
0.2,0.8,0.6406317364813416
0.2,0.9,0.65416917675844
0.2,1.0,0.6656070209728852
0.30000000000000004,0.0,0.4407245842666704
0.30000000000000004,0.1,0.5088415862913908
0.30000000000000004,0.2,0.5719495771845533
0.30000000000000004,0.30000000000000004,0.6211805125517675
0.30000000000000004,0.4,0.6579350004147291
0.30000000000000004,0.5,0.6844463193340904
0.30000000000000004,0.6000000000000001,0.7030418937945164
0.30000000000000004,0.7000000000000001,0.7157546481863953
0.30000000000000004,0.8,0.7241991948980293
0.30000000000000004,0.9,0.729588540419681
0.30000000000000004,1.0,0.7328040614477772
0.4,0.0,0.4407245842666704
0.4,0.1,0.5680302067144564
0.4,0.2,0.6613672375864644
0.4,0.30000000000000004,0.7183362546314986
0.4,0.4,0.7509129837381263
0.4,0.5,0.7690034693513819
0.4,0.6000000000000001,0.7789551608687687
0.4,0.7000000000000001,0.7844353286037372
0.4,0.8,0.7874587041840421
0.4,0.9,0.7890727013416297
0.4,1.0,0.7897433950773028
0.5,0.0,0.4407245842666704
0.5,0.1,0.6108244414324324
0.5,0.2,0.7216168168984997
0.5,0.30000000000000004,0.7812169455118013
0.5,0.4,0.812043186196438
0.5,0.5,0.828567307626402
0.5,0.6000000000000001,0.8383518587587622
0.5,0.7000000000000001,0.8450696732377078
0.5,0.8,0.8503862779670323
0.5,0.9,0.8548630340157507
0.5,1.0,0.8583044749792001
0.6000000000000001,0.0,0.4407245842666704
0.6000000000000001,0.1,0.6481522038235213
0.6000000000000001,0.2,0.7758352258005629
0.6000000000000001,0.30000000000000004,0.8406527684686852
0.6000000000000001,0.4,0.873146087776471
0.6000000000000001,0.5,0.890942149599653
0.6000000000000001,0.6000000000000001,0.9024426888582726
0.6000000000000001,0.7000000000000001,0.9114283263259205
0.6000000000000001,0.8,0.9194479065403167
0.6000000000000001,0.9,0.9268079863466535
0.6000000000000001,1.0,0.9328346561773191
0.7000000000000001,0.0,0.4407245842666704
0.7000000000000001,0.1,0.682575896673062
0.7000000000000001,0.2,0.8282221667956493
0.7000000000000001,0.30000000000000004,0.8993338134250728
0.7000000000000001,0.4,0.9330866865686669
0.7000000000000001,0.5,0.9502142921634836
0.7000000000000001,0.6000000000000001,0.9602561379089358
0.7000000000000001,0.7000000000000001,0.9674041053502057
0.7000000000000001,0.8,0.9733953661232341
0.7000000000000001,0.9,0.9787091462978897
0.7000000000000001,1.0,0.9829605052708279
0.8,0.0,0.4407245842666704
0.8,0.1,0.7042557107023629
0.8,0.2,0.8622293885001278
0.8,0.30000000000000004,0.9371727146909876
0.8,0.4,0.9703869530826427
0.8,0.5,0.9849935488038655
0.8,0.6000000000000001,0.9915541011827773
0.8,0.7000000000000001,0.9947011485138721
0.8,0.8,0.9964291955581054
0.8,0.9,0.9974925111171907
0.8,1.0,0.9979554622978679
0.9,0.0,0.4407245842666704
0.9,0.1,0.7164458977889728
0.9,0.2,0.8791589717452625
0.9,0.30000000000000004,0.9534958391401711
0.9,0.4,0.984150372201178
0.9,0.5,0.9956721106849491
0.9,0.6000000000000001,0.999025479393373
0.9,0.7000000000000001,0.9989213690904384
0.9,0.8,0.9973598673465057
0.9,0.9,0.9951139507230109
0.9,1.0,0.9923251158690742
1.0,0.0,0.4407245842666704
1.0,0.1,0.7189948046174582
1.0,0.2,0.8801121041335357
1.0,0.30000000000000004,0.951365926982168
1.0,0.4,0.9792944941081894
1.0,0.5,0.9887087509935791
1.0,0.6000000000000001,0.9903971619451437
1.0,0.7000000000000001,0.9888715722906976
1.0,0.8,0.9859755174841877
1.0,0.9,0.9823559128543639
1.0,1.0,0.9780375925681397
1.1,0.0,0.4407245842666704
1.1,0.1,0.7158250079076689
1.1,0.2,0.8709270061879872
1.1,0.30000000000000004,0.9363288723046361
