radius_mm,opacity,similarity
0.0,0.0,0.4192910818742556
0.0,0.034482758620689655,0.4192910818742556
0.0,0.06896551724137931,0.4192910818742556
0.0,0.10344827586206896,0.4192910818742556
0.0,0.13793103448275862,0.4192910818742556
0.0,0.1724137931034483,0.4192910818742556
0.0,0.20689655172413793,0.4192910818742556
0.0,0.24137931034482757,0.4192910818742556
0.0,0.27586206896551724,0.4192910818742556
0.0,0.3103448275862069,0.4192910818742556
0.0,0.3448275862068966,0.4192910818742556
0.0,0.3793103448275862,0.4192910818742556
0.0,0.41379310344827586,0.4192910818742556
0.0,0.4482758620689655,0.4192910818742556
0.0,0.48275862068965514,0.4192910818742556
0.0,0.5172413793103449,0.4192910818742556
0.0,0.5517241379310345,0.4192910818742556
0.0,0.5862068965517241,0.4192910818742556
0.0,0.6206896551724138,0.4192910818742556
0.0,0.6551724137931034,0.4192910818742556
0.0,0.6896551724137931,0.4192910818742556
0.0,0.7241379310344828,0.4192910818742556
0.0,0.7586206896551724,0.4192910818742556
0.0,0.7931034482758621,0.4192910818742556
0.0,0.8275862068965517,0.4192910818742556
0.0,0.8620689655172413,0.4192910818742556
0.0,0.896551724137931,0.4192910818742556
0.0,0.9310344827586207,0.4192910818742556
0.0,0.9655172413793103,0.4192910818742556
0.0,1.0,0.4192910818742556
0.034482758620689655,0.0,0.4192910818742556
0.034482758620689655,0.034482758620689655,0.41959151249800325
0.034482758620689655,0.06896551724137931,0.41989059112453647
0.034482758620689655,0.10344827586206896,0.4201883002813051
0.034482758620689655,0.13793103448275862,0.42048460786198844
0.034482758620689655,0.1724137931034483,0.4207794961414733
0.034482758620689655,0.20689655172413793,0.42107303867978296
0.034482758620689655,0.24137931034482757,0.4213652034031855
0.034482758620689655,0.27586206896551724,0.4216559225524405
0.034482758620689655,0.3103448275862069,0.4219452772027161
0.034482758620689655,0.3448275862068966,0.42223326223188984
0.034482758620689655,0.3793103448275862,0.4225198302179446
0.034482758620689655,0.41379310344827586,0.4228049554043221
0.034482758620689655,0.4482758620689655,0.42309147539436853
0.034482758620689655,0.48275862068965514,0.42338752153853515
0.034482758620689655,0.5172413793103449,0.423682199152317
0.034482758620689655,0.5517241379310345,0.4239754876175703
0.034482758620689655,0.5862068965517241,0.42426735690846423
0.034482758620689655,0.6206896551724138,0.4245578041664692
0.034482758620689655,0.6551724137931034,0.42484681103086663
0.034482758620689655,0.6896551724137931,0.42513442340181096
0.034482758620689655,0.7241379310344828,0.42542059985632497
0.034482758620689655,0.7586206896551724,0.42570540941463875
0.034482758620689655,0.7931034482758621,0.42598876605234365
0.034482758620689655,0.8275862068965517,0.4262706804282377
0.034482758620689655,0.8620689655172413,0.42655120776320127
0.034482758620689655,0.896551724137931,0.42683026367608834
0.034482758620689655,0.9310344827586207,0.42710793133575153
0.034482758620689655,0.9655172413793103,0.4273841732769222
0.034482758620689655,1.0,0.42765901680006335
0.06896551724137931,0.0,0.4192910818742556
0.06896551724137931,0.034482758620689655,0.4206478472601837
0.06896551724137931,0.06896551724137931,0.42197599528246915
0.06896551724137931,0.10344827586206896,0.4232862319699476
0.06896551724137931,0.13793103448275862,0.42461871551941077
0.06896551724137931,0.1724137931034483,0.42592187925964026
0.06896551724137931,0.20689655172413793,0.42719566970777056
0.06896551724137931,0.24137931034482757,0.42846651837208577
0.06896551724137931,0.27586206896551724,0.4297410617086811
0.06896551724137931,0.3103448275862069,0.4309858468010833
0.06896551724137931,0.3448275862068966,0.4322006749888316
0.06896551724137931,0.3793103448275862,0.43343627667389173
0.06896551724137931,0.41379310344827586,0.4346485592245957
0.06896551724137931,0.4482758620689655,0.43741056586009897
0.06896551724137931,0.48275862068965514,0.4425059450301698
0.06896551724137931,0.5172413793103449,0.44755979471524565
0.06896551724137931,0.5517241379310345,0.45257129384276
0.06896551724137931,0.5862068965517241,0.45753998286452946
0.06896551724137931,0.6206896551724138,0.46246498235091077
0.06896551724137931,0.6551724137931034,0.4673460237350102
